state,strata,pop_at_risk,par_se,delta_o3,do3_se,n_smoky,yo,yo_se,beta,beta_se
kentucky,black,12012.787368035855,1580.1153921267307,4.03911989119097,0.5397091539639758,27.823529411764707,0.152,0.021,0.0095,0.004
louisiana,black,48602.17618635054,3636.9773802466107,10.90478106983647,0.894491663404189,31.7,0.152,0.021,0.0095,0.004
maryland,black,56913.597984643784,2703.0969602666064,4.3197604984360645,1.8288996169773302,17.666666666666668,0.152,0.021,0.0095,0.004
michigan,black,48515.08607789134,3034.7595194555633,2.707859151784442,0.9364894444155839,19.555555555555557,0.152,0.021,0.0095,0.004
missouri,black,23152.87497533859,2331.708758841511,4.381615478641194,1.0447475508989015,26.666666666666668,0.152,0.021,0.0095,0.004
mississippi,black,44055.86485343562,1864.3393664883422,8.811740792233623,0.8218515652930607,30.5,0.152,0.021,0.0095,0.004
north carolina,black,79504,16045.918367346942,4.840678002978285,0.5736152916373429,30.071428571428573,0.152,0.021,0.0095,0.004
nebraska,black,2979.717240042635,409.2187670465018,NA,NA,NA,0.152,0.021,0.0095,0.004
new jersey,black,40756.05009897692,2072.7944536322557,4.30348065040259,1.2391849341743608,23.4,0.152,0.021,0.0095,0.004
nevada,black,6640.601955813886,1879.387378013662,1.871937419137972,0.8917961588037685,14.833333333333334,0.152,0.021,0.0095,0.004
new york,black,92368.1597955661,9036.981979092103,7.4138704827253585,0.9932147514156776,24.555555555555557,0.152,0.021,0.0095,0.004
ohio,black,40907.199306722105,3324.323721406869,4.487444605592271,0.6712301432237828,34.7,0.152,0.021,0.0095,0.004
oklahoma,black,12708.273435480294,1112.485986593579,1.5967475445049761,0.6832444024849943,38.5,0.152,0.021,0.0095,0.004
pennsylvania,black,53220.45902632081,3429.4477095190823,3.0428047621702374,1.4190406756386476,21,0.152,0.021,0.0095,0.004
rhode island,black,1016.9868780567657,150.4211590216122,9.441467473122215,3.131711620208615,11,0.152,0.021,0.0095,0.004
tennessee,black,32662.916245645232,4486.478344983714,4.68384975022509,2.4304900946000103,34,0.152,0.021,0.0095,0.004
texas,black,104037.43060005314,8351.179839288066,8.28196927028711,0.43850714056189105,39.774193548387096,0.152,0.021,0.0095,0.004
utah,black,1736.3990529116295,455.8309170644888,1.7515251966871814,0.46796759517952496,28.363636363636363,0.152,0.021,0.0095,0.004
vermont,black,529,436.734693877551,1.554207848288739,1.6832133021522477,23.5,0.152,0.021,0.0095,0.004
washington,black,3226.9920894261977,768.7320684186917,-1.4450958974156776,0.9305305755491331,40.8,0.152,0.021,0.0095,0.004
wisconsin,black,11394.281827488225,1197.815417605552,3.243078926509611,0.5635039627903868,35.5,0.152,0.021,0.0095,0.004
arizona,black,14250.729100605206,5898.1618197852285,NA,NA,NA,0.152,0.021,0.0095,0.004
iowa,black,3017.7423190741365,716.0552838752793,3.283443042393354,0.4158930464722037,44.07142857142857,0.152,0.021,0.0095,0.004
massachusetts,black,10709.410514411227,2114.2479819922028,7.4387867604117215,1.0339974576719628,26.375,0.152,0.021,0.0095,0.004
